cust_id,revenue_2018_2019
7gnxbv6qflrjaf4y,398.65
lapyzcy7ih35kmyp,0.0
gl65ix4vdajwgt4q,0.0
v74tsfuqcldr2rqo,0.0
u6qowqu3fibkflon,0.0
dk2w4j37xheckbr6,108.0
mhk5uhunxshfcjgy,0.0
zadbketrdd7fngse,0.0
i4qhsmogwreiffsr,0.0
cxkio45dq2h2klsw,0.0
iw5tp3q3vlto52ol,0.0
ogl443qd4uyqcy2e,608.61
dabkhdxq4y6mfm5q,0.0
hub2ncn72mu5v5h6,88.41
na34lmuqb2737d7f,0.0
nbvqgo6gqluqbbn3,0.0
lxfxozqrgbbkp72u,0.0
r7oltc5kpyworw6b,205.85
nnsoscj6ou5hdiix,0.0
agpqcksod6s3urno,479.58
2roktzobbwst5rw2,0.0
ifgygib2xiknpjyb,0.0
fjepnwscmp7bcptl,242.95
sih2ln6tq5azgt5y,470.25
7z42hnfcckb3sxs5,275.76
vkmp7yhg4xjt2e77,138.96
nowcichdef4dbb23,169.9
gnb4yuzmp2y2wcfu,249.31
glnhv3wt3wy4hakf,68.35
u7umjjl4hi2f3ow4,0.0
v33rtobyulkotzv3,103.02
pg6szzmn3az3epow,0.0
7fnonc3yymas4rm4,0.0
5gzjqeh5tvxw2n67,0.0
csgowpuauylk36u3,102.92
cxdppjrysq6wm6ul,0.0
y53sba4b7tptzulm,0.0
3w3koxf7mwokt7aq,69.95
qoyx7gcbjpz3e52h,155.26
bamvfimaezj4f3sw,0.0
3535gjs6ekaultk5,0.0
yhfj72gdfubob4rw,41.47
iijem7uiyoev5i65,116.72
526vkzhw2dmmmfxi,0.0
hnulca4ozh3tp245,715.18
bc4r3uvyoju3p5k7,0.0
pd3dgxgf36pedi4k,0.0
hazb33zuqtzztkmo,0.0
ulnnk3rwvkec327f,0.0
j3wr75rzusljz2id,0.0
fzxgut4fapte7cv5,330.89
fdyay43ewtdlypoh,0.0
o7sf75vfsg3udpye,0.0
5kjdozou4mfm35mz,0.0
alnucjkpe7xui7mb,0.0
nj6z24jlcxpyzq33,89.95
5dy67v7c34kkgph6,104.36
6tdsmy3wrcqxfp3o,522.75
ef3dtxig37evk5bg,227.15
gkrwsgesciwujkct,0.0
tyqm3oqcy3koaerm,0.0
jqybiuvcymnqrlyk,43.45
d577lx765c264kcq,435.4
auek254ip4xbg7mj,28.95
fysw4ujo2mftpezs,238.5
2gwglrzxufg6h2l2,0.0
ys2lk3driwp3nnpj,0.0
qcv32lews3gumxbv,0.0
5wby4wnz3ptf54rq,0.0
ra44hfdtkcguueip,739.69
jlxr4tlkoc2cdkvw,81.93
5d7qam7ici2odnak,0.0
f422yrncjtf5ooz3,0.0
27am6jxpy2sjczk4,0.0
c3lfa5omgcqbunir,0.0
43wk4mwp4njesrus,0.0
mgovuaxziyyh4dal,0.0
7mdsaaf7jcvqdvk5,0.0
nfci53e7nycg35ik,245.9
7jp2gtmfut7cu4dr,0.0
pwaxod2zre6bvgor,431.15
xzekacpqhb37wwlo,0.0
d5d4nmln5rnnfcgr,0.0
gxxzdb3yaw4dlpfk,0.0
kgib7gl7e7yo4ujp,0.0
llroiys7iafs5a3m,0.0
ehnjfwl67s6w3ekl,563.1
wtxmhhtvh634x57s,0.0
